ID;İlçe Adı;Mahalle;Sokak;İhbar Tipi;Tahmini Zarar;Yangın Cinsi;Yangın Nedeni;Müdahale Eden Amirlik;İhbar Saati;Çıkış Tarihi;Olay Yerine Ulaşım Saati;Yangın Söndürme Saati;Geri Dönüş Saati
9754;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;İşyeri Yangını;Tespit Edilemedi;Erdek Grup Amirliği;11.04.2018 05:10:00;11.04.2018 05:12:00;11.04.2018 05:30:00;;11.04.2018 06:00:00
9753;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Tedbir Amaçlı;;Erdek Grup Amirliği;02.02.2018 18:22:00;02.02.2018 18:23:00;02.02.2018 18:25:00;;02.02.2018 18:55:00
9752;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Araç Yangını;Tespit Edilemedi;Edremit Grup Amirliği;15.12.2019 20:59:00;15.12.2019 21:00:00;15.12.2019 21:02:00;15.12.2019 21:43:00;15.12.2019 21:46:00
9751;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;15.12.2019 12:44:00;15.12.2019 12:45:00;15.12.2019 12:47:00;15.12.2019 14:17:00;15.12.2019 14:20:00
9750;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;09.12.2019 11:03:00;09.12.2019 11:04:00;09.12.2019 11:06:00;09.12.2019 11:39:00;09.12.2019 11:42:00
9749;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ev Yangını;Dikkatsizlik;Edremit Grup Amirliği;09.12.2019 00:38:00;09.12.2019 00:39:00;09.12.2019 00:41:00;09.12.2019 01:23:00;09.12.2019 01:26:00
9748;EDREMİT;ZEYTİNLİ;;ASILSIZ_IHBAR;;Asılsız İhbar;Asılsız İhbar;Edremit Grup Amirliği;08.12.2019 19:09:00;08.12.2019 19:10:00;08.12.2019 19:12:00;08.12.2019 20:07:00;08.12.2019 20:10:00
9747;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;20.11.2019 12:48:00;20.11.2019 12:49:00;20.11.2019 12:51:00;20.11.2019 13:15:00;20.11.2019 13:18:00
9746;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Diğer Yangınlar;Tespit Edilemedi;Edremit Grup Amirliği;09.11.2019 20:09:00;09.11.2019 20:10:00;09.11.2019 20:12:00;09.11.2019 20:37:00;09.11.2019 20:40:00
9745;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;19.10.2019 18:54:00;19.10.2019 18:55:00;19.10.2019 18:57:00;19.10.2019 19:27:00;19.10.2019 19:30:00
9744;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;16.10.2019 19:59:00;16.10.2019 20:00:00;16.10.2019 20:02:00;16.10.2019 21:07:00;16.10.2019 21:10:00
9743;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;16.10.2019 18:29:00;16.10.2019 18:30:00;16.10.2019 18:32:00;16.10.2019 19:12:00;16.10.2019 19:15:00
9742;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;10.10.2019 19:16:00;10.10.2019 19:17:00;10.10.2019 19:19:00;10.10.2019 20:07:00;10.10.2019 20:10:00
9741;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Araç Yangını;Tespit Edilemedi;Edremit Grup Amirliği;09.10.2019 22:29:00;09.10.2019 22:30:00;09.10.2019 22:32:00;09.10.2019 23:07:00;09.10.2019 23:10:00
9740;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ev Yangını;Tespit Edilemedi;Edremit Grup Amirliği;09.10.2019 10:54:00;09.10.2019 10:55:00;09.10.2019 10:57:00;09.10.2019 11:27:00;09.10.2019 11:30:00
9739;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;01.10.2019 00:14:00;01.10.2019 00:15:00;01.10.2019 00:17:00;01.10.2019 01:07:00;01.10.2019 01:10:00
9738;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;30.09.2019 23:24:00;30.09.2019 23:25:00;30.09.2019 23:27:00;01.10.2019 00:07:00;01.10.2019 00:10:00
9737;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;16.09.2019 16:29:00;16.09.2019 16:30:00;16.09.2019 16:32:00;16.09.2019 17:32:00;16.09.2019 17:35:00
9736;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;12.09.2019 14:04:00;12.09.2019 14:05:00;12.09.2019 14:07:00;12.09.2019 15:22:00;12.09.2019 15:25:00
9735;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;08.09.2019 18:14:00;08.09.2019 18:15:00;08.09.2019 18:17:00;08.09.2019 18:27:00;08.09.2019 18:30:00
9734;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;08.09.2019 18:04:00;08.09.2019 18:05:00;08.09.2019 18:07:00;08.09.2019 19:27:00;08.09.2019 19:30:00
9733;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;05.09.2019 17:34:00;05.09.2019 17:35:00;05.09.2019 17:37:00;05.09.2019 18:07:00;05.09.2019 18:10:00
9732;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;31.08.2019 10:35:00;31.08.2019 10:36:00;31.08.2019 10:38:00;31.08.2019 11:15:00;31.08.2019 11:18:00
9731;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ev Yangını;Tespit Edilemedi;Edremit Grup Amirliği;29.08.2019 16:20:00;29.08.2019 16:21:00;29.08.2019 16:23:00;29.08.2019 17:12:00;29.08.2019 17:15:00
9730;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Diğer Yangınlar;Tespit Edilemedi;Edremit Grup Amirliği;29.08.2019 14:36:00;29.08.2019 14:37:00;29.08.2019 14:39:00;29.08.2019 17:57:00;29.08.2019 18:00:00
9729;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;29.08.2019 14:11:00;29.08.2019 14:12:00;29.08.2019 14:14:00;29.08.2019 14:45:00;29.08.2019 14:48:00
9728;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Tespit Edilemedi;Burhaniye Grup Amirliği;28.08.2019 00:09:00;28.08.2019 00:10:00;28.08.2019 00:15:00;;28.08.2019 02:20:00
9727;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;23.08.2019 13:29:00;23.08.2019 13:30:00;23.08.2019 13:32:00;23.08.2019 14:46:00;23.08.2019 14:49:00
9726;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;23.08.2019 10:24:00;23.08.2019 10:25:00;23.08.2019 10:27:00;23.08.2019 11:47:00;23.08.2019 11:50:00
9725;EDREMİT;ZEYTİNLİ;;TAKVIYE_AMACLI;BASLANGIC_HALINDE;Ot Yangını;Takviye Amaçlı;Havran Grup Amirliği;22.08.2019 14:14:00;22.08.2019 14:15:00;22.08.2019 14:45:00;22.08.2019 18:00:00;22.08.2019 18:36:00
9724;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;15.08.2019 04:44:00;15.08.2019 04:45:00;15.08.2019 04:47:00;15.08.2019 05:42:00;15.08.2019 05:45:00
9723;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;15.08.2019 03:04:00;15.08.2019 03:05:00;15.08.2019 03:07:00;15.08.2019 03:37:00;15.08.2019 03:40:00
9722;EDREMİT;ZEYTİNLİ;;ASILSIZ_IHBAR;;Asılsız İhbar;Asılsız İhbar;Edremit Grup Amirliği;12.08.2019 12:24:00;12.08.2019 12:25:00;12.08.2019 12:27:00;12.08.2019 13:02:00;12.08.2019 13:05:00
9721;EDREMİT;ZEYTİNLİ;;ASILSIZ_IHBAR;;Asılsız İhbar;Asılsız İhbar;Edremit Grup Amirliği;11.08.2019 20:14:00;11.08.2019 20:15:00;11.08.2019 20:17:00;11.08.2019 20:27:00;11.08.2019 20:30:00
9720;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;04.08.2019 18:04:00;04.08.2019 18:05:00;04.08.2019 18:07:00;04.08.2019 19:02:00;04.08.2019 19:05:00
9719;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;03.08.2019 17:54:00;03.08.2019 17:55:00;03.08.2019 17:57:00;03.08.2019 18:45:00;03.08.2019 18:48:00
9718;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;27.07.2019 10:56:00;27.07.2019 10:57:00;27.07.2019 10:59:00;27.07.2019 12:27:00;27.07.2019 12:30:00
9717;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;27.07.2019 07:56:00;27.07.2019 07:57:00;27.07.2019 07:59:00;27.07.2019 09:17:00;27.07.2019 09:20:00
9716;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;27.06.2019 20:58:00;27.06.2019 20:59:00;27.06.2019 21:01:00;27.06.2019 21:27:00;27.06.2019 21:30:00
9715;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;27.06.2019 14:15:00;27.06.2019 14:16:00;27.06.2019 14:18:00;27.06.2019 16:17:00;27.06.2019 16:20:00
9714;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;25.06.2019 11:49:00;25.06.2019 11:50:00;25.06.2019 11:52:00;25.06.2019 13:27:00;25.06.2019 13:30:00
9713;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;25.06.2019 11:45:00;25.06.2019 11:46:00;25.06.2019 11:48:00;25.06.2019 13:17:00;25.06.2019 13:20:00
9712;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;TAMAMEN;Ev Yangını;Kasıt;Edremit Grup Amirliği;18.06.2019 00:09:00;18.06.2019 00:10:00;18.06.2019 00:12:00;18.06.2019 01:27:00;18.06.2019 01:30:00
9711;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;17.06.2019 03:29:00;17.06.2019 03:30:00;17.06.2019 03:32:00;17.06.2019 05:02:00;17.06.2019 05:05:00
9710;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;13.06.2019 17:23:00;13.06.2019 17:24:00;13.06.2019 17:26:00;13.06.2019 17:57:00;13.06.2019 18:00:00
9709;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;02.06.2019 15:29:00;02.06.2019 15:30:00;02.06.2019 15:32:00;02.06.2019 15:57:00;02.06.2019 16:00:00
9708;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Kasıt;Edremit Grup Amirliği;23.04.2019 02:19:00;23.04.2019 02:20:00;23.04.2019 02:22:00;23.04.2019 02:42:00;23.04.2019 02:45:00
9707;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;22.04.2019 16:14:00;22.04.2019 16:15:00;22.04.2019 16:17:00;22.04.2019 16:37:00;22.04.2019 16:40:00
9706;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Bina Yangını;Tespit Edilemedi;Edremit Grup Amirliği;20.03.2019 03:59:00;;;;
9705;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çatı Yangını;Dikkatsizlik;Edremit Grup Amirliği;08.03.2019 12:49:00;08.03.2019 12:50:00;08.03.2019 12:52:00;08.03.2019 14:19:00;08.03.2019 14:22:00
9704;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Baca Yangını;İhmal;Edremit Grup Amirliği;10.01.2019 13:39:00;10.01.2019 13:40:00;10.01.2019 13:43:00;10.01.2019 14:06:00;10.01.2019 14:10:00
9703;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;08.01.2019 22:19:00;08.01.2019 22:20:00;08.01.2019 22:23:00;08.01.2019 22:56:00;08.01.2019 23:00:00
9702;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Kasıt;Edremit Grup Amirliği;25.11.2018 16:59:00;25.11.2018 17:00:00;25.11.2018 17:02:00;25.11.2018 17:42:00;25.11.2018 17:45:00
9701;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;17.11.2018 16:14:00;17.11.2018 16:15:00;17.11.2018 16:18:00;17.11.2018 16:46:00;17.11.2018 16:50:00
9700;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;13.11.2018 19:42:00;13.11.2018 19:43:00;13.11.2018 19:47:00;13.11.2018 21:00:00;13.11.2018 21:05:00
9699;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;13.11.2018 02:09:00;13.11.2018 02:10:00;13.11.2018 02:13:00;13.11.2018 03:26:00;13.11.2018 03:30:00
9698;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Doğal Olaylar;Edremit Grup Amirliği;12.11.2018 10:54:00;12.11.2018 10:55:00;12.11.2018 10:58:00;12.11.2018 11:16:00;12.11.2018 11:20:00
9697;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Araç Yangını;Elektrik Kontağı;Edremit Grup Amirliği;10.11.2018 01:49:00;10.11.2018 01:50:00;10.11.2018 01:51:00;10.11.2018 02:33:00;10.11.2018 02:35:00
9696;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Kasıt;Edremit Grup Amirliği;07.11.2018 19:29:00;07.11.2018 19:30:00;07.11.2018 19:34:00;07.11.2018 21:00:00;07.11.2018 21:05:00
9695;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Doğal Olaylar;Edremit Grup Amirliği;05.11.2018 15:29:00;05.11.2018 15:30:00;05.11.2018 15:34:00;05.11.2018 16:35:00;05.11.2018 16:40:00
9694;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Kasıt;Edremit Grup Amirliği;26.10.2018 18:44:00;26.10.2018 18:45:00;26.10.2018 18:49:00;26.10.2018 19:35:00;26.10.2018 19:40:00
9693;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Kasıt;Edremit Grup Amirliği;26.10.2018 17:29:00;26.10.2018 17:30:00;26.10.2018 17:33:00;26.10.2018 18:06:00;26.10.2018 18:10:00
9692;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Çöp Yangını;Kasıt;Edremit Grup Amirliği;24.10.2018 08:59:00;24.10.2018 09:00:00;24.10.2018 09:03:00;24.10.2018 09:16:00;24.10.2018 09:20:00
9691;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Kasıt;Edremit Grup Amirliği;19.10.2018 19:09:00;19.10.2018 19:10:00;19.10.2018 19:14:00;19.10.2018 19:45:00;19.10.2018 19:50:00
9690;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;TAMAMEN;Diğer Yangınlar;Elektrik Kontağı;Edremit Grup Amirliği;26.09.2018 16:34:00;26.09.2018 16:35:00;26.09.2018 16:38:00;26.09.2018 17:16:00;26.09.2018 17:20:00
9689;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Sigara;Edremit Grup Amirliği;23.09.2018 15:49:00;23.09.2018 15:50:00;23.09.2018 15:51:00;23.09.2018 15:58:00;23.09.2018 16:00:00
9688;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ev Yangını;Doğal Olaylar;Edremit Grup Amirliği;13.09.2018 13:14:00;13.09.2018 13:15:00;13.09.2018 13:17:00;13.09.2018 13:37:00;13.09.2018 13:40:00
9687;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Kasıt;Edremit Grup Amirliği;12.09.2018 20:19:00;12.09.2018 20:20:00;12.09.2018 20:24:00;12.09.2018 21:20:00;12.09.2018 21:25:00
9686;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;06.09.2018 13:04:00;06.09.2018 13:05:00;06.09.2018 13:08:00;06.09.2018 13:31:00;06.09.2018 13:35:00
9685;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;02.09.2018 22:29:00;02.09.2018 22:30:00;02.09.2018 22:34:00;02.09.2018 23:25:00;02.09.2018 23:30:00
9684;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Kasıt;Edremit Grup Amirliği;01.09.2018 12:44:00;01.09.2018 12:45:00;01.09.2018 12:49:00;01.09.2018 13:55:00;01.09.2018 14:00:00
9683;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;30.08.2018 17:39:00;30.08.2018 17:40:00;30.08.2018 17:43:00;30.08.2018 17:56:00;30.08.2018 18:00:00
9682;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Asılsız İhbar;Asılsız İhbar;Edremit Grup Amirliği;23.08.2018 19:29:00;23.08.2018 19:30:00;23.08.2018 19:37:00;23.08.2018 20:22:00;23.08.2018 20:30:00
9681;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ev Yangını;Şüpheli;Edremit Grup Amirliği;18.08.2018 13:14:00;18.08.2018 13:15:00;18.08.2018 13:18:00;18.08.2018 13:41:00;18.08.2018 13:45:00
9680;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;15.08.2018 18:34:00;15.08.2018 18:35:00;15.08.2018 18:39:00;15.08.2018 19:00:00;15.08.2018 19:05:00
9679;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;TAMAMEN;Dam Yangını;İhmal;Edremit Grup Amirliği;14.08.2018 04:59:00;14.08.2018 05:00:00;14.08.2018 05:05:00;14.08.2018 07:34:00;14.08.2018 07:40:00
9678;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;13.08.2018 16:21:00;13.08.2018 16:22:00;13.08.2018 16:25:00;13.08.2018 17:08:00;13.08.2018 17:12:00
9677;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Doğal Olaylar;Edremit Grup Amirliği;12.08.2018 16:19:00;12.08.2018 16:20:00;12.08.2018 16:23:00;12.08.2018 16:46:00;12.08.2018 16:50:00
9676;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Doğal Olaylar;Edremit Grup Amirliği;08.08.2018 14:44:00;08.08.2018 14:45:00;08.08.2018 14:49:00;08.08.2018 16:45:00;08.08.2018 16:50:00
9675;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;07.08.2018 10:06:00;07.08.2018 10:07:00;07.08.2018 10:10:00;07.08.2018 11:36:00;07.08.2018 11:40:00
9674;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Doğal Olaylar;Edremit Grup Amirliği;06.08.2018 15:19:00;06.08.2018 15:20:00;06.08.2018 15:23:00;06.08.2018 15:36:00;06.08.2018 15:40:00
9673;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;06.08.2018 11:06:00;06.08.2018 11:07:00;06.08.2018 11:10:00;06.08.2018 12:56:00;06.08.2018 13:00:00
9672;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;05.08.2018 10:59:00;05.08.2018 11:00:00;05.08.2018 11:03:00;05.08.2018 11:16:00;05.08.2018 11:20:00
9671;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Çöp Yangını;Tespit Edilemedi;Edremit Grup Amirliği;03.08.2018 15:59:00;03.08.2018 16:00:00;03.08.2018 16:03:00;03.08.2018 16:31:00;03.08.2018 16:35:00
9670;EDREMİT;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Sigara;Edremit Grup Amirliği;03.08.2018 10:59:00;03.08.2018 11:00:00;03.08.2018 11:05:00;03.08.2018 12:04:00;03.08.2018 12:10:00
